Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Longitude,Latitude
JAWA TIMUR,TRENGGALEK,TRENGGALEK,KARANGSOKO,"Jalan Raya Tulungagung Trenggalek, RT 03 RW 01, Desa Karangsoko, Kecamatan Trenggalek, Kabupaten Trenggalek, Jawa Timur",SPPG Trenggalek Trenggalek Karangsoko,111.714508168395,-8.089098388371
JAWA TIMUR,JEMBER,TANGGUL,PATEMON,"Jl. Jerukan Desa Patemon, Patemon, Kec. Tanggul, Kab. Jember, Jawa Timur",SPPG Jember Tanggul Patemon,113.448817,-8.1432377
JAWA TIMUR,LAMONGAN,KALITENGAH,PUCANGTELU,"Jl. Raya Kendal Kemlagi, Pucangtelu, Kec. Kalitengah, Kab. Lamongan, Jawa Timur",SPPG Lamongan Kalitengah Pucangtelu,112.3530887,-7.0350213
JAWA TIMUR,JOMBANG,JOGOROTO,NGUMPUL,"Jl. Purnama, RT 004 RW 003, Ngumpul, Kec. Jogoroto, Kabupaten Jombang, Jawa Timur",SPPG Jombang Jogoroto Ngumpul,112.272257,-7.5548041
JAWA TIMUR,KOTA PROBOLINGGO,KANIGARAN,KANIGARAN,"Kanigaran, Kecamatan Kanigaran, Kota Probolinggo, Jawa Timur",SPPG Kota Probolinggo Kanigaran Kanigaran 7,113.210577,-7.76701
JAWA TIMUR,SAMPANG,KEDUNGDUNG,GUNUNGELEH,"Gunungeleh, Kecamatan Kedungdung, Kabupaten Sampang, Jawa Timur",SPPG Sampang Kedungdung Gunungeleh 2,113.3316,-7.044
JAWA TIMUR,KOTA MALANG,LOWOKWARU,TULUSREJO,"Jl. Cengger Ayam No 42 Kel.Tulusrejo Kec. Lowokwaru Kota Malang, Jawa Timur",SPPG Kota Malang Lowokwaru Tulusrejo 2,112.629781669299,-7.94718511307
JAWA TIMUR,MOJOKERTO,PURI,TAMBAKAGUNG,Dusun Trenggumung Rt 004 Rw 002 Desa Tambakagung Kec. Puri Kab. Mojokerto 61363 Jawa Timur,SPPG Mojokerto Puri Tambakagung,112.463,-7.5084
JAWA TIMUR,LAMONGAN,LAMONGAN,BANJARMENDALAN,"Jl. Panglima Sudirman, Banjar Anyar, Kelurahan Banjarmendalan, Kecamatan Lamongan, Kabupaten Lamongan, Jawa Timur",SPPG Lamongan Lamongan Banjarmendalan,112.428338544984,-7.114602059906
JAWA TIMUR,SUMENEP,ARJASA,PANDEMAN,"Desa Pademan, Kecamatan Arjasa, Kabupaten Sumenep, Jawa Timur",SPPG Sumenep Arjasa Pandeman,115.3268661,-6.8508384
JAWA TIMUR,SIDOARJO,SIDOARJO,LEMAHPUTRO,"Jl. Raya Taman Pinang Indah No.03 Blok A4, Kwadengan Barat, Lemahputro, Kecamatan Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",SPPG Sidoarjo Sidoarjo Lemahputro 2,112.705079574466,-7.451357109217
